Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,000244985201935757","-1,20606969008284E-18","4,99117147605681",0,0,0,"705,348725696948","5868,71274167689","6,21949571884484E-19","0,714325568937374","5868,69714734345","3,17415996263369E-16","7,92735483064776",0,0,0,0,0,0,package://linhaf3/meshes/base_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://linhaf3/meshes/base_link.STL,,poste-2,postecoord <poste-2>,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
barra1,"0,165","5,4479E-17","9,1241",0,0,0,"89,058","67,13","-6,7138E-15","1,0104E-15","0,46121","5,2543E-16","67,005",0,0,0,0,0,0,package://linhaf3/meshes/barra1.STL,"0,77647","0,75686","0,73725",1,0,0,0,0,0,0,package://linhaf3/meshes/barra1.STL,,barra-1,postecoord <poste-2>,,barrajunta,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
sup1,"0,165","-1,125","9,2811",0,0,0,"1,267","0,0050951","-4,1432E-09","4,577E-10","0,0045936","3,6399E-09","0,0023941",0,0,0,0,0,0,package://linhaf3/meshes/sup1.STL,"0,52941","0,54902","0,54902",1,0,0,0,0,0,0,package://linhaf3/meshes/sup1.STL,,sup-1,postecoord <poste-2>,,sup1junta,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
cabo1,"25,646","-1,124","8,6159",0,0,0,"256,61","63,229","-6,1765","-58,062",55590,"-0,16224",55527,0,0,0,0,0,0,package://linhaf3/meshes/cabo1.STL,"0,89804","0,92157","0,92941",1,0,0,0,0,0,0,package://linhaf3/meshes/cabo1.STL,,cabo-3,postecoord <poste-2>,,cabo1junta,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
poste2,"49,917","-0,56153","4,9692",0,0,0,"705,35","5868,7","0,0056329","0,28057","5868,7","0,65692","7,9274",0,0,0,0,0,0,package://linhaf3/meshes/poste2.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://linhaf3/meshes/poste2.STL,,poste-6,postecoord <poste-2>,,poste2junta,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
barra2,"49,982","-0,40957","9,1022",0,0,0,"89,058","10,746","24,081","-9,7682E-16","56,845","1,3893E-15","67,005",0,0,0,0,0,0,package://linhaf3/meshes/barra2.STL,"0,77647","0,75686","0,73725",1,0,0,0,0,0,0,package://linhaf3/meshes/barra2.STL,,barra-5,postecoord <poste-2>,,barra2junta,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
sup2,"51,016","-0,85144","9,2592",0,0,0,"1,267","0,004671","0,00018117","-3,1676E-09","0,0050178","1,8506E-09","0,0023941",0,0,0,0,0,0,package://linhaf3/meshes/sup2.STL,"0,52941","0,54902","0,54902",1,0,0,0,0,0,0,package://linhaf3/meshes/sup2.STL,,sup-5,postecoord <poste-2>,,sup2junta,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
cabo2,"61,035","22,604","8,6056",0,0,0,"256,86",47155,-20120,"-34,04","8659,9","-79,178",55689,0,0,0,0,0,0,package://linhaf3/meshes/cabo2.STL,"0,89804","0,92157","0,92941",1,0,0,0,0,0,0,package://linhaf3/meshes/cabo2.STL,,cabo2-2,postecoord <poste-2>,,cabo2junta,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
poste3,"71,102","46,959","4,9692",0,0,0,"705,35","5868,7","0,00011215","0,71431","5868,7","0,0051373","7,9274",0,0,0,0,0,0,package://linhaf3/meshes/poste3.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://linhaf3/meshes/poste3.STL,,poste-7,postecoord <poste-2>,,poste3junta,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
barra3,"71,267","46,96","9,1021",0,0,0,"89,058","67,126","0,47946","1,2142E-15","0,46466","-3,1338E-15","67,005",0,0,0,0,0,0,package://linhaf3/meshes/barra3.STL,"0,77647","0,75686","0,73725",1,0,0,0,0,0,0,package://linhaf3/meshes/barra3.STL,,barra-6,postecoord <poste-2>,,barra3junta,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
sup3,"71,275","45,835","9,2592",0,0,0,"1,267","0,0050951","3,6028E-06","4,3151E-10","0,0045936","3,6431E-09","0,0023941",0,0,0,0,0,0,package://linhaf3/meshes/sup3.STL,"0,52941","0,54902","0,54902",1,0,0,0,0,0,0,package://linhaf3/meshes/sup3.STL,,sup-6,postecoord <poste-2>,,sup3junta,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
cabo3,"96,756","46,02","8,6049",0,0,0,"256,61","66,251","-405,52","-81,97",55587,"-0,76604",55527,0,0,0,0,0,0,package://linhaf3/meshes/cabo3.STL,"0,89804","0,92157","0,92941",1,0,0,0,0,0,0,package://linhaf3/meshes/cabo3.STL,,cabo-5,postecoord <poste-2>,,cabo3junta,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
poste4,"121,02","46,757","4,9691",0,0,0,"705,35","5868,7","0,0055547","0,27584","5868,7","0,65892","7,9274",0,0,0,0,0,0,package://linhaf3/meshes/poste4.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://linhaf3/meshes/poste4.STL,,poste-8,postecoord <poste-2>,,poste4junta,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
barra4,"121,09","46,909","9,1021",0,0,0,"89,058","10,402","23,747","-3,5146E-14","57,189","1,5646E-14","67,005",0,0,0,0,0,0,package://linhaf3/meshes/barra4.STL,"0,77647","0,75686","0,73725",1,0,0,0,0,0,0,package://linhaf3/meshes/barra4.STL,,barra-7,postecoord <poste-2>,,barra4junta,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
sup4,"122,12","46,475","9,2591",0,0,0,"1,267","0,0046684","0,00017865","-3,1809E-09","0,0050204","1,8278E-09","0,0023941",0,0,0,0,0,0,package://linhaf3/meshes/sup4.STL,"0,52941","0,54902","0,54902",1,0,0,0,0,0,0,package://linhaf3/meshes/sup4.STL,,sup-7,postecoord <poste-2>,,sup4junta,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
